filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,680,680,backpack,1,1,680,680
1_bingo_04_school_bag_blue_grid.jpg,1000,1000,backpack,1,1,1000,1000
51cxO+9I9-L.jpg,406,500,backpack,1,1,406,500
51kwy2tzjul.jpg,1200,1200,backpack,1,1,1200,1200
81lLtUVP70L._SY550_.jpg,387,550,backpack,1,1,387,550
81QgTOvJ2tL._SY355_.jpg,355,355,backpack,1,1,355,355
283.jpg,600,600,backpack,1,1,600,600
296a48154e268bf61c93b4e7af891986.jpg,1200,1600,backpack,1,1,1200,1600
2016-Vintage-Women-Canvas-Backpacks-For-Teenage-Girls-School-Bags-Large-High-Quality-Mochilas-Escolares-New_845ee86e-de7c-4fd3-8f38-8762b01ae61b_1024x1024.jpg,800,800,backpack,1,1,800,800
7494_mb004.jpg,1200,1200,backpack,1,1,1200,1200
0050035_nike-kids-boys-backpack-school-bag-black_600.jpg,448,600,backpack,1,1,448,600
152208.jpg,224,336,backpack,1,1,224,336
172319-2915.jpg,800,800,backpack,1,1,800,800
347853_8_1.jpg,280,280,backpack,1,1,280,280
898817_05.jpg,288,288,backpack,1,1,288,288
3100916_Anonymous-Group-Guy-Fawkes-Mask-Junior-Backpack.jpg,1600,1600,backpack,1,1,1600,1600
21509044_A1.jpg,1000,1000,backpack,1,1,1000,1000
46438996-3A-zoom.jpg,960,1200,backpack,1,1,960,1200
71118741_l.jpg,720,720,backpack,1,1,720,720
71299116bd2bad57d82eb9b908270798.jpg,498,497,backpack,1,1,498,497
300506533_IF81055.jpg,525,700,backpack,1,1,525,700
bg125-bag.jpg,432,532,backpack,1,1,432,532
bp105frd_1._college-school-bag-backpack-red-and-black-by-bags-r-us.jpg,800,970,backpack,1,1,800,970
chansin-waterproof-school-bag.jpg,600,900,backpack,1,1,600,900
download.jpg,225,225,backpack,1,1,225,225
dsc_0511_4.jpg,1600,1500,backpack,1,1,1600,1500
eng_pl_Unisex-school-bag-RANGER-BACKPACK-1786_2.jpg,550,849,backpack,1,1,550,849
fashion-girl-school-bag-waterproof-backpack.jpg,800,800,backpack,1,1,800,800
ididas.jpg,225,225,backpack,1,1,225,225
images.jpg,202,249,backpack,1,1,202,249
IMG201612251657311488782142.jpg,320,320,backpack,1,1,320,320
item_L_28023282_69957945.jpg,244,300,backpack,1,1,244,300
japanese-randoseru-backpack-chocolate-brown-clarino-japan-putj13-back-to-school-01.jpg,600,600,backpack,1,1,600,600
jpeg.jpg,700,700,backpack,1,1,700,700
mfdqdt1476167729832.jpg,384,384,backpack,1,1,384,384
mickey-mouse-school-bag-500x500.jpg,500,500,backpack,1,1,500,500
mPUvmyABzHCOtONrQFwvc5Q.jpg,225,225,backpack,1,1,225,225
New-Arrival-Kids-School-Bag-Boy-s-Backpack-Fashion-School-Bag-School-Backpack-Waterproof-Kid-s.jpg_640x640.jpg,640,640,backpack,1,1,640,640
osprey.jpg,2048,1536,backpack,1,1,2048,1536
personalised-backpack-rucksack-school-bag-universal-bg212--1.-colour-navy-blue-2.-personalise-no-personalisation-[3]-16939-p.png,600,709,backpack,1,1,600,709
personalised-backpack-rucksack-school-bag-universal-bg212--1.-colour-navy-blue-2.-personalise-no-personalisation-[5]-16939-p.png,600,749,backpack,1,1,600,749
red-school-bag-500x500.jpg,500,500,backpack,1,1,500,500
rexine-school-bag-500x500.png,494,500,backpack,1,1,494,500
school-bag-large-250x250.jpg,250,250,backpack,1,1,250,250
School-Bag-PNG-Image-with-Transparent-Background.png,800,800,backpack,1,1,800,800
school-bag-SDL054519274-1-3ebd7.jpg,1153,1416,backpack,1,1,1153,1416
school-bag-SDL268614588-1-24d7d.jpg,850,995,backpack,1,1,850,995
